"id","work_id"
88003,2065418339
88117,2048728074
88119,2073261698
88145,2016856679
88146,2030410605
88150,1963838765
88152,2059286378
88153,2010072029
88154,2080512756
88157,2079842828
88004,2093396769
88159,1964257341
88160,1993945178
88164,2046237070
88165,2078732681
88166,2084384511
88167,2126576996
88171,2092295071
88172,2082089392
88173,2058595751
88174,2007578378
88175,2002222717
88176,2068292637
88180,2012567098
88181,2087817773
88183,2039537887
88186,2002435469
88188,2049208152
88189,2059539195
88191,2094288843
88192,2041960373
88019,2045339343
88193,1971469311
88198,1993619056
88201,2113616830
88202,2103103031
88264,2039578496
88265,1995711645
88277,2020796725
88279,1975562041
88280,2026910161
88281,2044900552
88020,2044751681
88285,1972772585
88288,2017103010
88289,2035583228
88291,2047923282
88292,1974480715
88293,2043971345
88294,2044949303
88295,1987093408
88296,2003403998
88297,2123283833
88021,1986118493
88298,2010113601
88300,2062605622
88302,2063154885
88303,2062481218
88304,2025434869
88309,2061455342
88310,2027755102
88311,1999113097
88312,2050263051
88023,2028392465
88313,2042386542
88314,2070171259
88315,2027830070
88316,2018395304
88323,2040971494
88324,2005466055
88325,1975216039
88326,2007347752
88024,1982378120
88327,2079248993
88329,2002291647
88335,2026048151
88341,2007471474
88342,2068144828
88343,2061378504
88345,1985596211
88346,2075818184
99966,1978164602
99975,2085642972
100074,1969312715
100109,2034755295
100110,2039376706
100111,2046223808
100112,2018391625
100113,1683329791
100114,2123838102
100115,2089644729
99977,2141139757
100116,2099102351
100118,2028179112
100120,2099426151
100121,2132801246
100122,1975928891
100125,2092045615
99980,2056401467
100127,2067011355
100129,2063748002
100132,1977218729
100134,181035956
100136,2072870478
100138,2035543003
100139,2028723167
100140,2125374917
100141,1560923390
100142,2128136362
100143,2057044094
100144,2067008867
100146,2090214477
100147,1982714960
100148,1973811980
100149,1989802288
100150,1963974278
99987,1981311245
100151,2044189270
100153,2166185775
100154,2005876782
100155,2100747144
99988,2136905561
100157,2076781538
100158,1990680865
100159,2148724875
100160,1974714960
100161,2081506363
100162,2005833132
100163,2048896925
100164,1972378835
99989,2070089798
99991,1977775078
99994,1997104453
99967,2020078038
99998,1996904899
100000,2161617039
100003,2046886959
100004,2007395950
100008,2058482848
100010,2085750014
99968,2047800927
100011,2068558255
100015,2024849074
100016,1998089891
100017,2010872198
100018,2047425367
100019,2108794875
100021,2016337402
100023,2166392894
99970,2004587300
100024,2129529863
100025,2418004210
100026,2158178506
100027,2038151807
100028,2143620211
100034,1975228403
99971,1991473739
100037,2069150757
100038,2162990974
99972,2128549625
100039,2030904844
100041,1964305931
100043,1987003824
100044,2001346060
100045,2128254382
99973,2007395195
100046,1985377945
100048,2079884710
100051,2171058805
100052,1970698856
100053,1968031217
100055,2045381307
100056,1964461007
100058,1971272930
100059,2161250443
100060,2101896992
100061,2028313451
100062,2035280000
100063,2005248125
99974,2039644554
100065,2097484101
100066,2160337905
100068,2107656170
100069,1971413033
100070,2061862602
100071,2140866695
100072,3150786294
103259,2058743032
103268,2017387587
103269,1982465113
103270,2020101099
100152,4230691928
